start,end,text
280840,284520," And suddenly we don't have that thing where they have to run the money printers to pay"
284520,288040," off the debt because the economy is just ripping so hard."
288040,293400," And so then it's like, what is the role of a store value asset in that case where people"
293400,297040," aren't feeling the pain of inflation quite as bad?"
297040,300880," I think that kind of like takes a little bit of a narrative out of it."
300880,306320," And in general, it's kind of like, what is the role of a kind of like cover your ass"
306320,315800," asset in a world where there is potentially like this new abundance, huge economic growth,"
315800,319840," and like a lot of like optimism and just kind of like good feels."
319840,320840," And that's like a great world."
320840,323520," I think that's the world we all want to live in."
323520,328160," But maybe that isn't a world that's compatible with like Bitcoin as this kind of like hedge"
328160,329880," against all that crazy stuff."
329880,330880," I don't know."
330880,336240," So that's some stuff I've been thinking about lately is like, maybe a bunch of us were just"
336240,341880," super kind of pessimistic and cynical about where the world was headed in this economic"
341880,342880," way."
342880,349280," And like, I'm not saying this is guaranteed to happen, but it's like some thing that is"
349280,353920," in the possibility space now, and just thinking about that and thinking about what does that"
353920,358760," world look like kind of makes me question the role of Bitcoin a little bit."
358760,362680," But yeah, I don't think that's like my base case is just like a possibility."
362680,363680," Right."
363680,366960," So you're basically wondering, like, well, you know, where are we if we can actually"
366960,368800," like outbuild the debt?"
368800,371200," Like, what does that mean for Bitcoin?"
371200,372200," Yeah."
372200,377720," And just like, you know, if we have like the country of geniuses in a data center, whatever"
377720,382560," the unprofit people promise us, which kind of looks like we're headed there based on,"
382560,388120," you know, Fable and all these new models just completely being smarter than all of us."
388120,389640," Well, at least smarter than me."
389640,393600," I don't know about you guys, you're more gigabrand, definitely outpacing."
393600,400320," But yeah, I mean, it's like if you can produce, you know, goods and services, like super cheap,"
400320,405160," because in 10 years we have like robot armies of workers that are just producing everything"
405160,407920," we need."
407920,412200," I don't know, like maybe you're not thinking too hard about preserving your wealth because"
412200,413200," of material abundance."
413200,414600," Maybe that's a little reductive."
414600,417480," I haven't thought it through that detailed."
417480,418480," I do."
418480,422360," I wonder if that creates like a stronger incentive for the like self sovereign money narrative"
422360,423360," though, right?"
423360,427160," Like, you know, in this sort of like world where everything's churning, you know, there"
427160,430480," are like a lot of different currencies competing and a lot of different things competing for"
430480,433240," your attention and and for your capital."
433240,435240," Yeah, I do."
435240,438600," I do wonder if there's like a potential of that self sovereign money narrative, but that's"
438600,442640," a half, half baked thought on my part, I think."
442640,447600," Yeah, I mean, I definitely love that thought more than like the currency of the future"
447600,454360," being like your anthropic API credits, basically, or whatever, like that's the new, like the"
454360,457160," active currency for the world."
457160,462080," You know, I still like the idea and like it appeals to me, it's always going to appeal"
462080,467320," to me this idea of Bitcoin is this kind of like neutral freedom money that is kind of"
467320,473080," like for the internet, by the internet for the people by the people not controlled by"
473080,479960," any group of specific, like small, powerful people."
479960,485520," That idea is always going to appeal to me, but maybe I've become a little bit more like"
485520,491080," bearish or cynical about like the extent to which there's enough people in the world that"
491080,497200," actually care about those ideals to like scale it to where it actually becomes something"
497200,504580," that is, you know, like the default or like the new standard or it's like inevitable."
504580,513000," Like I really do question how many like if, if the number go up thing kind of like goes"
513000,520120," away or gets weakened, then all you have left is the true believers and I just don't think"
520120,524200," there's enough of those people who think that way about this stuff."
524200,528360," I would like there to be more, but I'm not going to change my mind on that, on my like"
528360,533040," principles and what I believe about what should be in the world, but like what should be or"
533040,536920," what ought to be as different than like what is, I guess."
536920,537920," Yeah."
537920,538920," Yeah."
538920,543400," I mean, it seems like there could also be like a coordination problem that Bitcoin could solve."
543400,549880," Like I mean, in the, in the world that you're proposing where like anthropic, you know, tokens"
549880,553360," are like some type of currency, right?"
553360,556680," Like they're not fungible with open AI tokens."
556680,560480," I mean, and this is a, this is a dark, dark thought it's fair experiment, but I always"
560480,564800," thought that like, you know, Bitcoin was like in some ways there to solve like the coordination"
564800,565800," problem of money."
565800,570360," And yeah, I don't know if maybe like it has a role in the future where like there are"
570360,574440," multiple types of money."
574440,579880," Yeah, I think it could."
579880,585000," But also you have this like future, like maybe the future where there's this abundance and"
585000,590360," optimism is like a high trust world and people trust the government fiat currencies."
590360,595400," And then you're even seeing like basically the leaders of the AI companies are essentially"
595400,603080," inviting the government to like take shares from them, which is a really weird state of"
603080,604080," affairs."
604080,609680," And I feel like people are like into that idea, not so much like I don't really want"
609680,616040," the government to own big parts of like private corporations, even if they're super important,"
616040,621000," I want like the benefits of the technology that they're building to be like wildly dispersed."
621000,625760," But I feel like having the government take a big stake is probably the wrong structural"
625760,626760," way to go about that."
626760,631680," But like you can imagine a future where like the government has this huge stake in these"
631680,637320," companies and they're kind of like, I don't know, like merged together in some kind of"
637320,640440," creepy dystopian way."
640440,646800," And then they support fiat currencies or, you know, like, that's just they're not going"
646800,653920," to necessarily be embracing Bitcoin if they're like so tied up with the government and fiat"
653920,654920," life."
654920,655920," For sure."
655920,660280," I mean, it's not even clear to me that that would be a good thing, but just like just"
660280,664840," a thought experiment about like what I understood Bitcoin, one of the problems that Bitcoin"
664840,669320," initially seems to be solving like a native currency for the Internet."
669320,676780," I've heard many say, but in this like dystopian world you're talking about where the government"
676780,684000," and like, let's say there's like three companies that control all the intelligence and make"
684000,686040," all the money."
686040,689480," What is dystopian about about that?"
689480,693820," Like if the companies make so much money, they make all the money and then we have nothing"
693820,694820," to do."
694820,699920," So we need money or food or whatever."
699920,704960," Is it bad if the government is like suckling that money so then they can disperse it to"
704960,707280," the people?"
707280,710040," I mean, if they disperse it, right?"
710040,714120," I feel like this is the from from what I understand it to be."
714120,718880," I feel like that's the argument about the permanent underclass right where like previously"
718880,723360," like some form of like your utility and your participation in society has been hinged on"
723360,724360," labor."
724360,729120," And as that asymptotes the value of that asymptotes towards zero, there's no longer any reason"
729120,734720," to sustain you, you know, I don't I don't know if that's true."
734720,738040," That's that's just what I've heard."
738040,739040," From some people."
739040,745600," What do you mean to sustain you like that will die on the underclass will die on potentially."
745600,747280," I don't know."
747280,748280," But dark."
748280,753720," I think I think people are like scared of like an ossifying right like the sort of social"
753720,758880," status of people and maybe more importantly power also fine."
758880,764600," Yeah, I think it's like the value of labor in any form, whether it be cognitive labor"
764600,769380," or like physical labor, basically goes to zero because everything can be done better"
769380,775520," by machines and machines are basically capital whether it's like a robot or like a bunch"
775520,778400," of GPUs in a data center, those are capital."
778400,785320," And so there's a world where like the returns to label labor are basically nil and the returns"
785320,791000," to capital are compounding and that's kind of what matters."
791000,795680," And so if you think about a world like that, I think that's a very extreme thing."
795680,799200," I don't think it's necessarily going to be that black and white."
799200,804200," But if you think about that, then it's basically like the wealth distribution among people"
804200,809120," is going to be basically frozen by what amount of capital they had when the value of labor"
809120,813840," went to zero because there's like no way to acquire more capital with your labor because"
813840,815440," your labor is worthless."
815440,821680," So the only way to get more capital is to have capital at that event horizon."
821680,828240," But yeah, I'm proud of us that we went 12 minutes into the pod before we mentioned program"
828240,829240," underclass."
829240,830240," I'm sorry."
830240,831240," There was me."
831240,836240," I was trying really hard not to say the P word, but just like it kind of like it begged"
836240,839440," it begged its own question."
839440,841240," I think it should be a recurring topic."
841240,845480," You know, I think we need to get our memes going for the podcast."
845480,846960," We need to keep it light."
846960,851080," I think we jumped right into like a little doomsday scenario for me."
851080,852760," I want to I want to take it back."
852760,855720," I want to get a little bit more fun."
855720,857920," Yeah, we should be more fun."
857920,861720," But yeah, we will remember the topic, the permanent underclass."
861720,863480," We can do weekly updates."
863480,872040," And I think this is actually a great way to segue into Claude's new release fable."
872040,874000," You know, is this the inflection point?"
874000,875240," Is it over for us?"
875240,880160," Tyler, you mentioned that the AI is smarter than you and asked if it's smarter than us."
880160,883120," It is no denying it."
883120,885120," It's totally cracked."
885120,891360," I got it to build an Android or an iOS app and it built like wrote all the code without"
891360,894160," like being able to test it while I installed Xcode."
894160,902020," It just started writing Swift code like a like a gangster and it did it in like 10 minutes."
902020,904120," So it's definitely better than us."
904120,908160," Building is not the it's not the problem with your app."
908160,909160," What is your app idea?"
909160,913960," If you share it, I don't know if you want to leak alpha on our first podcast like this."
913960,914960," I'll leak some alpha."
914960,922040," The alpha was that I for looped Claude and said I want to be a millionaire."
922040,929080," So do market research and find something we can build so I can become a millionaire."
929080,933720," And every time you loop reread your progress so you can like iterate."
933720,938720," And in like three loops we had an iOS application."
938720,942920," It has to do with farming, but we don't like like you said we don't want to leak alpha."
942920,945360," Main Street's looking for this, they're trying to."
945360,946360," It's a big market."
946360,947360," They're trying to trade."
947360,948360," Yeah."
948360,950760," 10 is 11 million Americans."
950760,951760," Yeah."
951760,952760," Spoiler."
952760,955040," Don't look at what 11 million Americans do."
955040,957120," That's public information."
957120,958960," But this is I mean, it's crazy."
958960,965120," This is like a huge step up from even Claude 4.6 sonnet whatever that I was using until"
965120,967960," Monday of this week when I upgraded my Claude."
967960,968960," Like it's unreal."
968960,971320," You don't even have to be specific."
971320,974360," But are you a millionaire yet?"
974360,975360," Not yet."
975360,977360," It's only been an hour and 15 minutes."
977360,979240," The day is young."
979240,981880," But how many times can I ask Claude to do this?"
981880,986320," You know, I could ask you to do this 30 times and it's much better than me."
986320,990920," So one in, you know, 30 times we should at least make like $10."
990920,992400," And that's enough."
992400,993400," Yeah."
993400,996720," You might need more than a million dollars to get out of the permanent hundred class"
996720,997720," these days."
997720,998720," It's sad."
998720,1001640," What is the price?"
1001640,1005400," How many apps that I'm not allowed to talk about what the app is about and how many of"
1005400,1009160," those hypothetically, you know, do you need?"
1009160,1011760," Well, I'm going for the subscription based model."
1011760,1015840," So I'm looking to get like, let's say if I get 100 users and they're each paying like"
1015840,1024200," $1 a month and this app cost me, I don't know, $10 a month to maintain, then I don't know,"
1024200,1026960," I'm making $1,200 a year."
1026960,1032560," Maybe I can arbitrage, you know, the place that I'm living and then I only need like"
1032560,1033560," two or three of these."
1033560,1034560," I don't know."
1034560,1037680," Is there a place where you can live for 10,000 US dollars a year?"
1037680,1038680," I'm sure there are."
1038680,1039680," Bangkok."
1039680,1040680," Bangkok."
1040680,1041680," Yeah."
1041680,1042680," Potentially."
1042680,1043680," No, maybe not even."
1043680,1044680," Yeah."
1044680,1051280," But I mean, the principle remains, you know, and we're like accelerating the AI is insane."
1051280,1056000," We're privileged to work in tech and to work at a company that forces us to use AI."
1056000,1061540," The people that like aren't using AI every day and don't see this, it's going to be shocking"
1061540,1062540," to them."
1062540,1065280," I think when it comes around, I guess when is that going to happen?"
1065280,1070240," Because still some people haven't even tried chat GPT."
1070240,1073840," I think one thing I've noticed about Fable that I didn't notice as much with the previous"
1073840,1078880," models is like, so I always try to make the model do as much of my job as I possibly can."
1078880,1083320," Like, you know, I outsourced to it for the code writing, but also like for ideation,"
1083320,1087240," like architectural patterns, like whatever, I like I try to run it through the model and"
1087240,1089240," see if it can come up with anything."
1089240,1094960," I think like Fable for me is the first one where I barely have to moderate its ideas."
1094960,1100120," Like it's capable of like doing the executive step and then also doing the mechanical implementation"
1100120,1104880," step and bundling it together because the context window is so big as well."
1104880,1109840," It like, you know, like you're talking about with your million dollar app idea, you know,"
1109840,1111560," it's one hour a single session."
1111560,1115960," It's capable of like orchestrating this entire complex task."
1115960,1120440," So I think for me, like that was a big, like big step up."
1120440,1128760," Yeah, it's that shift from like, I don't know, a few months ago where you have to say, make"
1128760,1133840," this use this, you know, look in this area to do this."
1133840,1140920," And now you can just say do this and it will figure out where to look and won't make mistakes."
1140920,1141920," It's crazy."
1141920,1142920," It's crazy."
1142920,1148840," It makes me wonder, like if like the edge in some of these markets, you know, goes back"
1148840,1151960," to this, like I think that, you know, there was a brief time where there was like some"
1151960,1157800," edge about like coming up with strategies based on unintuitive relationships between"
1157800,1158800," things."
1158800,1162040," But maybe it just goes straight back to like inside information."
1162040,1163040," I don't know."
1163040,1164520," Maybe that's the only edge that's left."
1164520,1166520," I'm not sure."
1166520,1171320," Yeah, it's just being one of the companies that have these models for months before they"
1171320,1172480," give them to everyone else."
1172480,1173480," Right."
1173480,1174480," A hundred percent."
1174480,1178960," If you train the model and you have access to it and you only give it up after you've"
1178960,1183720," like basically armed all of the low hanging fruit that it can generate, you know, all"
1183720,1189760," the new drugs that can discover all the hacks it can do, but they probably won't do that."
1189760,1190760," I don't know."
1190760,1192680," They'll probably just do the good things of it, which is great."
1192680,1198960," They're going to give us new drugs that solve disease and other stuff, but it does seem"
1198960,1207440," like the homogenization of this kind of value where it's like there's a couple of companies"
1207440,1213160," that can only be producing this crazy cutting edge models that can then generate all this"
1213160,1219560," value, like the value accrual and the value centralization, and it's just potentially"
1219560,1220560," insane."
1220560,1221560," Hold up."
1221560,1222680," Let's go back to what you said."
1222680,1225960," You said there looks like they're only going to do the good things."
1225960,1230480," How did they convince you that that's what they're going to do?"
1230480,1238560," Well, they're not going to like use, you know, mythos to like rug all the defy protocols"
1238560,1240880," that need to be rugged, right?"
1240880,1244680," Like they, I guess they're trying to be a little bit white hat about it, at least in"
1244680,1245680," those cases."
1245680,1252880," What would be an example of a bad thing that you could, you could see them doing?"
1252880,1258320," I just feel like it's like, A, I feel like actually the gains to doing bad things are"
1258320,1259880," lower."
1259880,1263680," Like why would you spend all your time trying to run defy protocols when you can like invent"
1263680,1265760," a new drug or something?"
1265760,1272120," Like I don't think that there's really much, you know, like the highest value, bad things"
1272120,1275840," that you can do with these models is probably less than the highest value."
1275840,1276840," Good things."
1276840,1277840," Maybe that's optimistic."
1277840,1278840," Take."
1278840,1283520," This is like conspiratorial and I apologize, but I was talking to my boy yesterday."
1283520,1285920," We need conspiratorial on this podcast."
1285920,1288600," That's the only way we're going to get miles to listen."
1288600,1289600," Yeah."
1289600,1291320," Well, one of my boys works."
1291320,1299080," He did like bioinformatics doctorate at UW and works in biotech and he was trying to use"
1299080,1305360," fable for his job and it won't answer any of his questions like regarding biology, which"
1305360,1310480," is like, you know, a hard, a pretty hard science."
1310480,1316560," So the reason I had mentioned this is like these companies that are making the models"
1316560,1322640," and as we grow our dependence on these models, they have like a really strong ability to,"
1322640,1324280," to control the truth."
1324280,1327000," Like what we believe is the truth."
1327000,1334760," So when they like refuse to answer questions regarding a certain subject, like that should"
1334760,1343680," remind you that they also can like push information regarding certain subjects that they want"
1343680,1344680," to push."
1344680,1352320," I'm not saying that they're doing that, but like, but they probably are, you know, we"
1352320,1354560," just wouldn't know."
1354560,1358280," For sure, I think there's like a, also a profit incentive there."
1358280,1362800," Like, you know, people have talked to death about like embedding advertisements within"
1362800,1369200," large language models or like, you know, people are quite suggestible in general I would say."
1369200,1374040," One thing about the bio, the biomedical angle."
1374040,1377960," So I was thinking about this the other day and I like texted my friends."
1377960,1382960," I was like, Hey man, like, do you think like a anthropic is going to sell like a mega tier"
1382960,1385240," subscription of my thoughts to Eli Lilly?"
1385240,1391680," Or do you think that they would just come up with like the wonder the mega drug themselves?"
1391680,1396320," And so I asked Gemini of course, who is, you know, maybe a little bit biased being a competing"
1396320,1403120," model and apparently anthropic acquired a wet lab for 400 mil not very long ago."
1403120,1408120," So it seems like maybe, you know, there are thoughts about going the vertical angle."
1408120,1414160," And I kind of wonder what that world looks like, where like anthropic and open AI are"
1414160,1420120," these like fat zaibatsu companies like developing all of this stuff."
1420120,1421120," I don't know."
1421120,1425440," Yeah, I guess this is exactly what what Tyler was saying is because they have access to"
1425440,1432000," the model so far in advance, they could monopolize intelligence, intelligence jobs or whatever"
1432000,1433000," research opportunities."
1433000,1434000," That's crazy."
1434000,1442120," Yeah, I wonder what they're I mean, they think they're actually training models all the time"
1442120,1447400," with all the compute that they have or do you think I mean, I think what we're suggesting"
1447400,1451400," is that they're sometimes they're using all those data centers and energy they have to"
1451400,1457600," like, use the models to to make money in other ways, maybe so like maybe that's why fable,"
1457600,1461440," like we only get it for 10 days, you know, and then they're they're gonna roll that compute"
1461440,1466560," all that training data back into fable to whatever."
1466560,1471840," Yeah, what do you do at table five, bro?"
1471840,1475000," Sorry, fable 5.2."
1475000,1482520," Yeah, Tyler, how about what, what is your experience been with fable this week?"
1482520,1484120," You've been trying, right?"
1484120,1486480," Yeah, I've been fabling a lot."
1486480,1491100," I mean, it's super strong, I think it's a little slow."
1491100,1492880," Is what I've kind of found."
1492880,1496480," I wonder if they're just having capacity issues."
1496480,1500960," I think it's super interesting that they were like, a couple months back, they were like,"
1500960,1503920," mythos is too powerful to release to the world."
1503920,1505920," We can't possibly do that."
1505920,1511200," And then there were like a bunch of rumors that anthropic basically had like under invested"
1511200,1516000," in compute and didn't have enough compute to keep up with the demand for their products,"
1516000,1521880," which to be fair, is probably insane and unprecedented."
1521880,1530720," But then they signed this big deal with SpaceX to buy the cluster that Elon built colossus,"
1530720,1533240," I think it's called in Tennessee."
1533240,1538880," And they basically like day Elon gave them all of his compute, and then they were able"
1538880,1544120," to like, raise all their limits for everyone and then like fable comes like a week later."
1544120,1549920," So I do feel like some of that was posturing where they were like, this model is too dangerous"
1549920,1550920," to release."
1550920,1555480," And it was really like, we don't have the compute resources to release this giant model."
1555480,1559080," And then once they did, they were like, okay, now we're going to drop it on the world."
1559080,1564240," And basically just completely MOG, open AI, am I using that word correctly?"
1564240,1565240," I don't know."
1565240,1566240," Absolutely."
1566240,1573000," I think it would be like AI of like the AI of the group, not the alpha male of the group."
1573000,1575760," I know, but we got to give Tyler some credit."
1575760,1578600," That's very hip for the times."
1578600,1581280," I'm the old man, you know, of the team."
1581280,1583120," But yeah, I've been using it."
1583120,1584120," I think it's really good."
1584120,1591080," I mean, I'll be fair, like I hadn't really done, like I hadn't tested like Opus, for"
1591080,1593760," example, with some like really ambitious kind of work."
1593760,1600400," But this week I was like, here's a whole PRD for this feature that like I want us to build"
1600400,1608640," for a cash app, and like instead of maybe breaking it down piece by piece, and like"
1608640,1613760," doing all this, I was like, read the PRD, like literally create all the draft PRs that"
1613760,1617720," are needed, sequence out all the exact work that needs to happen."
1617720,1622680," If there's like client code that needs to change, you need to like build the app, and"
1622680,1629880," like test the flows, and take like videos of the flows and all this stuff, make no mistakes."
1629880,1634960," And it just like, ripped for like a day, I had to press yes, and accept all permissions"
1634960,1638880," like 20 times, even though I told them to dangerously skip permissions."
1638880,1644480," And then eventually, I just was like, here's like seven PRs drafted."
1644480,1649400," And all of our repos, I'm like probably spamming them and all the engineers hate me."
1649400,1653120," And it's like, just spring and slop."
1653120,1657080," But Fable was like, we have done it, the feature is ready."
1657080,1662520," I think that does kind of bring like a really interesting question, which is like, if these"
1662520,1668360," models can do like, basically that end to end stuff, then like, I think the biggest"
1668360,1673600," challenge is that last mile of like actually shipping the thing."
1673600,1679680," And that is partly an engineering problem, but also it's like, very much like a coordination"
1679680,1687020," problem, like working within the system, knowing the process, doing all the right things kind"
1687020,1688100," of problem."
1688100,1695120," And that stuff is all I think, super time consuming and like a little bit kind of like,"
1695120,1699660," like tacit knowledge from the people who have navigated that process before."
1699660,1705320," And so it's interesting if AI can like, in theory, enable somebody to build a feature"
1705320,1710560," end to end, like, in a week, and get most of the way there."
1710560,1714600," But then it's like, have you actually just take this kind of like black box work, and"
1714600,1718680," then actually get it to where we're comfortable shipping it?"
1718680,1724080," That's I think a problem I haven't really seen solve that well."
1724080,1731240," And I think it kind of requires like, obviously, like our engineers who are working on other"
1731240,1735680," things to like, stop and like, start reviewing all these slot PRs that I'm putting together."
1735680,1740800," And like, that probably isn't a great request for them from me."
1740800,1744320," So yeah, I don't know how to square that circle."
1744320,1751840," I was just gonna say, you know, Jackson and I were chatting just earlier about how imminent"
1751840,1756200," obsolescence, and I think like we came to like a similar conclusion, like Jackson said"
1756200,1763080," something like, we're all just kind of like, SREs now, like, but like, like, to exactly"
1763080,1768440," your point, Tyler, like, I think, like the last mile finishing seems to be bigger and"
1768440,1771080," bigger part of the role."
1771080,1774080," Yeah, I don't have any, any more thoughts."
1774080,1776840," I just thought it was like really interesting that you both came to the same conclusion."
1776840,1780120," Yeah, but this is interesting."
1780120,1784960," I think, like, within the company that all three of us happen to work in, but we have"
1784960,1787800," no affiliation with."
1787800,1791920," I think they're working on like the things that will help you get through that last mile."
1791920,1801120," That's like CI, AI driven code reviews, and then like, automating the testing as much"
1801120,1802280," as possible."
1802280,1808880," For example, I imagine for you, Tyler, it's not trivial to like, run an Android emulator"
1808880,1816520," to test the feature that you just built locally on your computer, but you know, the teams"
1816520,1821800," are building things that make that testing like, seamless and quick."
1821800,1826400," And that is really the right direction to be moving in this AI world where we want everything"
1826400,1828520," to happen automatically."
1828520,1835280," And then all Chris and I as engineers will be left to do is like, respond if there is"
1835280,1842360," a bug that the AI code reviews missed, or that you missed when you were manually testing"
1842360,1850640," the product in your, I don't know, yeah, in your manual testing step."
1850640,1858440," I will say like, I know, like, Fable is really great, and it can like understand how to scale"
1858440,1866000," services and like, think about like, concurrency and race conditions and so on and so forth."
1866000,1869840," But I, I'm still not sure that it has like, a good way to like, unify and like, create"
1869840,1875320," like a good architecture that won't create problems in the future."
1875320,1881400," It's a small piece, but I don't know, maybe Fable 5.2, as we've said, which is what the"
1881400,1884800," next model is called, we'll fix that."
1884800,1885800," Yeah."
1885800,1892800," Damn, yeah, Tyler, as someone who's not an engineer, how long do you think me and Chris"
1892800,1893800," have?"
1893800,1894800," What's the prognosis?"
1894800,1902880," I don't know, Matt, I mean, you guys might be best positioned to ride this wave better"
1902880,1907960," position than people with other skill sets coming into it, you know, like maybe a lot"
1907960,1912920," of the roles in the tech world are kind of converging, and it's just eventually going"
1912920,1918640," to be like one position, which is just like AI whisper, you know, but maybe the best AI"
1918640,1923160," whispers are people who come at it from a technical background, or maybe they're people"
1923160,1928600," who come at it from like a product background, or they can like know what to build and give"
1928600,1935080," really good feedback and direction, or it's people who come at it from a data science"
1935080,1939320," background, because obviously, that's my background, and I think that's going to be the winning"
1939320,1940320," one."
1940320,1947360," I mean, I don't think that provides any particular advantage over those ones, but I think we're"
1947360,1948360," all cooked, man."
1948360,1959280," I mean, just got to, you know, embrace the world model block as a consciousness thing"
1959280,1962120," and we'll be set."
1962120,1966440," I will say it's forcing me to think differently as an engineer, like I'm having to like spread"
1966440,1974200," out my, you know, cognition in order to like both be able to like stay productive, but"
1974200,1980000," also just like feeling out the shape of this new role that you're talking about, Pylo."
1980000,1984240," Like, you know, there are like, and I imagine it's like different depending on what role"
1984240,1988280," you're coming from, but there are like places where I'm very comfortable, which is like"
1988280,1991760," the core engineering stuff, and then there are places where I'm like much less comfortable,"
1991760,1998120," which is like the more like core product thinking stuff."
1998120,2002640," And yeah, it's just like, I'm having to be like way more cognitively flexible than I'm"
2002640,2003640," used to."
2003640,2007200," I don't know if anyone else is feeling that, but that's my whole take."
2007200,2012400," What would be your guys' jobs if you weren't working at a computer?"
2012400,2013400," Chicken farmer."
2013400,2014400," Hey, come on."
2014400,2015400," Chicken farmer."
2015400,2028240," I don't know, it depends, like is it me right now as a 29-year-old man with the skills that"
2028240,2033800," I have today, or is it like me starting over either in college or just out of college?"
2033800,2034800," Tyler."
2034800,2044640," However you interpret it, like what would you do, yeah, what job are you suited for?"
2044640,2053120," I mean, I've got a real estate license in Georgia, so I would consider being a real"
2053120,2054120," estate agent."
2054120,2058600," I think it's chill to like talk to people and try to sell them stuff, but like also"
2058600,2064280," real estate comes with a lot of ethical issues, and you're supposed to be like a guide, and"
2064280,2069160," I think I could lean into being a good person and talking to strangers."
2069160,2070160," All right."
2070160,2078780," Tyler, do you have any ... I mean, my favorite job I've ever had was being"
2078780,2079780," a lifeguard."
2079780,2083960," That was like my summer job in high school and college, the amazing job these days."
2083960,2089360," You just like hang out on the beach, potentially help people, kind of look at the water, maybe"
2089360,2091400," you like rake some sand."
2091400,2095680," Especially with those abs, you know."
2095680,2096680," You're looking good out there."
2096680,2097680," Hell yeah."
2097680,2106480," You know, it'd just be more incentive to get that tan, get that sun life, solar worshipper,"
2106480,2115480," but maybe lifeguards are going to be replaced by flock cameras and drones that come and"
2115480,2119480," plop you out of the water, and they won't be lifeguards anymore."
2119480,2120480," Who knows?"
2120480,2123460," Yeah, who wins the lifeguard replacement race?"
2123460,2129600," Is it Elon with the humanoid robots, or is it Amazon with the drone delivery?"
2129600,2137560," Is it Andrew with the submarine that just like explodes and you're in trouble, I don't"
2137560,2138560," know."
2138560,2142440," I actually think I would ... I actually like being a Slut Vibe Coder."
2142440,2145480," I think it's a great job."
2145480,2151880," I don't know if this job is going away, but yeah, it's fun, it's very fun to orchestrate"
2151880,2156960," it, but first of all, agreed, this is the best our job has ever been, for me."
2156960,2157960," It's not close."
